text,lang,folder,filename
"Sierra Pelona Valley","en","California","Sierra Pelona Valley.mp3"
"Sloughhouse","en","California","Sloughhouse.mp3"
"Solano County Green Valley","en","California","Solano County Green Valley.mp3"
"Sonoma Coast","en","California","Sonoma Coast.mp3"
"Sonoma Mountain","en","California","Sonoma Mountain.mp3"
"Sonoma Valley","en","California","Sonoma Valley.mp3"
"South Coast","en","California","South Coast.mp3"
"Spring Mountain District","en","California","Spring Mountain District.mp3"
"Squaw Valley-Miramonte","en","California","Squaw Valley-Miramonte.mp3"
"St. Helena","en","California","St. Helena.mp3"
"Santa Rita Hills","en","California","Santa Rita Hills.mp3"
"Stags Leap District","en","California","Stags Leap District.mp3"
"Suisun Valley","en","California","Suisun Valley.mp3"
"Tehachapi Mountains","en","California","Tehachapi Mountains.mp3"
"Temecula","en","California","Temecula.mp3"
"Templeton Gap District","en","California","Templeton Gap District.mp3"
"Tracy Hills","en","California","Tracy Hills.mp3"
"Trinity Lakes","en","California","Trinity Lakes.mp3"
"Upper Lake Valley","en","California","Upper Lake Valley.mp3"
"West Sonoma Coast","en","California","West Sonoma Coast.mp3"
"Wild Horse Valley","en","California","Wild Horse Valley.mp3"
"Willow Creek","en","California","Willow Creek.mp3"
"Winters Highlands","en","California","Winters Highlands.mp3"
"York Mountain","en","California","York Mountain.mp3"
"Yorkville Highlands","en","California","Yorkville Highlands.mp3"
"Yountville","en","California","Yountville.mp3"
"Yucaipa Valley","en","California","Yucaipa Valley.mp3"
"Barossa Valley","en","Australia","Barossa Valley.mp3"
"Eden Valley","en","Australia","Eden Valley.mp3"
"High Eden","en","Australia","High Eden.mp3"
"Clare Valley","en","Australia","Clare Valley.mp3"
"Adelaide Hills","en","Australia","Adelaide Hills.mp3"
"Lenswood","en","Australia","Lenswood.mp3"
"Piccadilly Valley","en","Australia","Piccadilly Valley.mp3"
